chain;date;nb_holders
Arbitrum;2022-02-17;1739
Arbitrum;2022-02-18;1750
Arbitrum;2022-02-19;1752
Arbitrum;2022-02-20;1746
Arbitrum;2022-02-21;1746
Arbitrum;2022-02-22;1749
Arbitrum;2022-02-23;1748
Arbitrum;2022-02-24;1753
Arbitrum;2022-02-25;1750
Arbitrum;2022-02-26;1775
Arbitrum;2022-02-27;1785
Arbitrum;2022-02-28;1815
Arbitrum;2022-03-01;1820
Arbitrum;2022-03-02;1821
Arbitrum;2022-03-03;1822
Arbitrum;2022-03-04;1830
Arbitrum;2022-03-05;1818
Arbitrum;2022-03-06;1824
Arbitrum;2022-03-07;1831
Arbitrum;2022-03-08;1827
Arbitrum;2022-03-09;1831
Arbitrum;2022-03-10;1842
Arbitrum;2022-03-11;1851
Arbitrum;2022-03-12;1839
Arbitrum;2022-03-13;1834
Arbitrum;2022-03-14;1826
Arbitrum;2022-03-15;1819
Arbitrum;2022-03-16;1816
Arbitrum;2022-03-17;1814
Arbitrum;2022-03-18;1815
Arbitrum;2022-03-19;1813
Arbitrum;2022-03-20;1816
Arbitrum;2022-03-21;1816
Arbitrum;2022-03-22;1819
Arbitrum;2022-03-23;1817
Arbitrum;2022-03-24;1814
Arbitrum;2022-03-25;1814
Arbitrum;2022-03-26;1805
Arbitrum;2022-03-27;1805
Arbitrum;2022-03-28;1802
Arbitrum;2022-03-29;1792
Arbitrum;2022-03-30;1787
Arbitrum;2022-03-31;1782
Arbitrum;2022-04-01;1786
Arbitrum;2022-04-02;1782
Arbitrum;2022-04-03;1786
Arbitrum;2022-04-04;1781
Arbitrum;2022-04-05;1783
Arbitrum;2022-04-06;1788
Arbitrum;2022-04-07;1779
Arbitrum;2022-04-08;1778
Arbitrum;2022-04-09;1775
Arbitrum;2022-04-10;1790
Avalanche;2021-11-01;823
Avalanche;2021-11-02;918
Avalanche;2021-11-03;1006
Avalanche;2021-11-04;1081
Avalanche;2021-11-05;1153
Avalanche;2021-11-06;1289
Avalanche;2021-11-07;1437
Avalanche;2021-11-08;1599
Avalanche;2021-11-09;1766
Avalanche;2021-11-10;1946
Avalanche;2021-11-11;2163
Avalanche;2021-11-12;2382
Avalanche;2021-11-13;2586
Avalanche;2021-11-14;2666
Avalanche;2021-11-15;2798
Avalanche;2021-11-16;2945
Avalanche;2021-11-17;3524
Avalanche;2021-11-18;3695
Avalanche;2021-11-19;3839
Avalanche;2021-11-20;3963
Avalanche;2021-11-21;4128
Avalanche;2021-11-22;4244
Avalanche;2021-11-23;4313
Avalanche;2021-11-24;4385
Avalanche;2021-11-25;4496
Avalanche;2021-11-26;4572
Avalanche;2021-11-27;4645
Avalanche;2021-11-28;4740
Avalanche;2021-11-29;4816
Avalanche;2021-11-30;4921
Avalanche;2021-12-01;5338
Avalanche;2021-12-02;5773
Avalanche;2021-12-03;6141
Avalanche;2021-12-04;6619
Avalanche;2021-12-05;6930
Avalanche;2021-12-06;7142
Avalanche;2021-12-07;7347
Avalanche;2021-12-08;7555
Avalanche;2021-12-09;7815
Avalanche;2021-12-10;7939
Avalanche;2021-12-11;8102
Avalanche;2021-12-12;8269
Avalanche;2021-12-13;8569
Avalanche;2021-12-14;8795
